ID,Type,Utterance,Dialog_Act,translated_Utterance
204_14,T,"maybe the little space it's upset, perhaps a drink drink and a half each one. So that also increased a little bit more. So perhaps maybe drinking more than you indicated on here. And for women, healthy woman your age, no more than three drinks in one setting is considered to be low or no risk and one seven in one week, seven total in total a week and what you say here is that even on this sheet, you're perhaps already drinking more than that. So what do you make of all that?",irq,شاید کمی از فضای آن ناراحت شده باشد، شاید یک نوشیدنی و نیم نوشیدنی برای هر یک. پس این نیز کمی بیشتر شد. پس شاید نوشیدن بیشتر از آنچه که در اینجا نشان داده شده است. و برای زنان، زنان سالم در سن شما، بیش از سه نوشیدنی در یک تنظیم به عنوان کم خطر یا بدون خطر در نظر گرفته می شود و یک هفت در یک هفته، هفت در مجموع در یک هفته و آنچه شما در اینجا می گویید این است که حتی در این ورق، شما شاید در حال حاضر بیشتر از آن نوشیدنی.
204_15,P,"That news to me, you know, I thought red wine with your meals is supposed to be healthy. You know, no more than seven in a week? That seems kind of prohibitive?",id,به نظر من شراب قرمز با غذاهای شما باید سالم باشد، می دانید، نه بیشتر از هفت بار در یک هفته؟ این به نظر می رسد یک نوع ممنوع است؟
204_16,T,"Yeah, it seems seems a little less than perhaps you've been drinking or what you consider to be healthy drinking. And certainly there's there's conflicting information out there about what's healthy and what's not healthy. Imagine the increased stress work because we're concerned doctor seal as your stress increases, and if you were to describe you anything, maybe some interaction between the two, that would also be a concern for him. I would, I would think, so if you would, what is it that you like about alcohol?",irq,به نظر می رسد که کمی کمتر از آنچه که شما نوشیدنی یا نوشیدنی سالم می دانید، به نظر می رسد.و مطمئناً اطلاعات متناقضی در مورد آنچه سالم است و آنچه سالم نیست وجود دارد.تصور کنید که استرس افزایش یافته است، زیرا ما نگران هستیم که استرس شما افزایش می یابد.و اگر شما چیزی را توصیف کنید، شاید برخی از تعامل بین این دو، این نیز برای او نگران کننده باشد.من می خواهم، فکر می کنم، پس اگر شما می خواهید، چه چیزی در مورد الکل دوست دارید؟
204_17,P,"Well, you know, it does, at least in the moment, temporarily reduce my stress. And I you know, like a good glass of wine. I don't don't drink the cheap stuff. I like the expensive.",id,خب، می دانید، حداقل در این لحظه، استرس من را به طور موقت کاهش می دهد. و من می دانید، مثل یک لیوان شراب خوب. من چیز های ارزان را نمی نوشم. من چیز های گران را دوست دارم.
204_18,T,"See, like the taste of it. And it does help to lower the stress, even if it's just for the fun of me drinking. What's not so good things about alcohol for you.",irq,می بینید، مثل طعم آن. و این به کاهش استرس کمک می کند، حتی اگر فقط برای لذت من از نوشیدن باشد. چه چیز خوبی در مورد الکل برای شما نیست.
204_19,P,"Um, well, you know, the nights that maybe I have a couple more glasses than I should I wake up feeling kinda yaak and, of course, part of my stress is finances. And I mentioned I like the good stuff. And so if I'm drinking more than I'm increasing my financial burden,",yna,خب، می دانید، شب هایی که شاید من چند لیوان بیشتر از حد لازم بنوشم، از خواب بیدار می شوم و احساس می کنم که یک جورايي خسته هستم و البته بخشی از استرس من مالی است. و من اشاره کردم که من چیزهای خوب را دوست دارم. و بنابراین اگر من بیشتر از مصرف می نوشم، بار مالی من افزایش می یابد.
204_20,T,your financial stress may be increased by the fact that you're drinking.,id,استرس مالی شما ممکن است به دلیل نوشیدن الکل افزایش یابد.
204_21,P,"Yeah, kind of defeating the purpose they're",gc,آره، يه جورايي هدفشون رو شکست ميدن
204_22,T," the drink introduce stress and increasing stress at the same time. So on the one hand, it low is it on the other hand, it's increasing kind of the seesaw teeter totter effect. What do you make of that, given that on one hand, it lowers on the other hand, it increases and and now it's increasing even more?",irq,این نوشیدنی استرس را ایجاد می کند و در عین حال استرس را افزایش می دهد. بنابراین از یک طرف، کم است و از طرف دیگر، در حال افزایش نوع اثر تکان دهنده تکان دهنده است. شما از این چه می گویید، با توجه به اینکه از یک طرف، کاهش می یابد و از طرف دیگر، افزایش می یابد و اکنون حتی بیشتر افزایش می یابد؟
204_23,P,And maybe I need to find some other way to deal with my stress. Yeah.,id,و شاید باید راهی دیگر برای مقابله با استرس پیدا کنم.
204_24,T,Imagine investment thoughts so that what have you thought of trying?,irq,فکر سرمایه گذاری را تصور کنید تا اینکه چه چیزی را فکر کرده اید امتحان کنید؟
204_25,P,"Well, I've exercised in the past and that helps. Right now. My schedule is kind of out of whack and I just really don't know what to do. That's why I came to see Dr. seal. I thought maybe he can prescribe me something that would help. You know, when I'm feeling overwhelmed,",id,خوب، من در گذشته ورزش کرده ام و این کمک می کند. در حال حاضر. برنامه من یک نوع از ضرب و شتم است و من فقط واقعا نمی دانم که چه کاری باید انجام دهم. به همین دلیل من به دیدن دکتر سیل آمدم. فکر کردم شاید او می تواند چیزی را برای من تجویز کند که کمک کند. می دانید، وقتی احساس می کنم غرق شده ام،
204_26,T,"And he may be able to I'm not saying that he cannot just imagine that he's concerned that if you continue to drink, the level that you are drinking, that whatever he prescribes you, there may be an interaction with it to mention that he's concerned. I'm not completely sure. So you've had some success in the past of changing behaviors. And if you were to decide to make any changes here that sounds like you could draw upon that to make those changes. How important would it be for you on a scale of zero to 10? I have a low visual hero that if zero is not important, ten is very important to do something about your drinking wine.",irq,"""من نمی گویم که او نمی تواند تصور کند که اگر شما به نوشیدن ادامه دهید، هر چیزی که او به شما تجویز می کند، ممکن است با آن ارتباط برقرار کند، به این معنی که او نگران است.من کاملا مطمئن نیستم. بنابراین شما در گذشته در تغییر رفتار موفقیت هایی داشته اید.و اگر تصمیم بگیرید که در اینجا تغییراتی را انجام دهید که به نظر می رسد می توانید از آن برای ایجاد این تغییرات استفاده کنید.در مقیاس صفر تا ده، چقدر مهم برای شما خواهد بود؟"""""""
204_27,P,"Well, I mean, if if it means that it's increasing my stress and or he's not going to prescribe me anything because of my drinking, then it's fairly important, maybe about seven. ",id,خب، منظورم این است که اگر به این معنی باشد که استرس من را افزایش می دهد و یا او به دلیل نوشیدن من چیزی به من تجویز نمی کند، پس آن را نسبتا مهم است، شاید حدود هفت.
204_28,T,It's it's pretty up there. What do you choose a seven out of five or four?,irq,اون بالا خيلي قشنگه. تو از پنج تا هفت تا يا چهار تا رو انتخاب ميکني؟
204_29,P,"Well, again, I got to get things under control. You know, My kids are dependent on me and I've got to go to work to help ease this financial stress. And so, you know, all those responsibilities",id,خب، دوباره، من باید همه چیز را تحت کنترل قرار دهم. می دانید، بچه های من به من وابسته اند و من باید به کار بروم تا به کاهش این استرس مالی کمک کنم. و بنابراین، می دانید، تمام این مسئولیت ها
204_30,T,there's a lot riding on your decision on what to do with this. What if anything would bring up to an eight or nine on that scale?,irq,خیلی چیزها به تصمیم شما در مورد اینکه با این چه کار کنید بستگی دارد.چی می شود اگر چیزی به هشت یا نه در آن مقیاس برسد؟
204_31,P,"Well, the you know, the risk that you mentioned about the drug interaction, I certainly can't afford to, you know, have any more stress.  So, yeah, ",id,خب، می دانید، ریسک که شما در مورد تعامل دارویی ذکر کردید، من قطعا نمی توانم تحمل کنم، می دانید، استرس بیشتری داشته باشم. پس، بله،
204_32,T,so so you you choose to lower your stress rather than increase it. And if lowering your drinking would have that effect that something be willing to do.,ynq,بنابراین شما تصمیم می گیرید استرس خود را کاهش دهید به جای اینکه آن را افزایش دهید. و اگر کاهش نوشیدن شما این اثر را داشته باشد که چیزی را انجام دهید.
204_33,P,hmmm,ack,همممم
204_34,T,How confident are you that you could do something about your drinking?,irq,چقدر مطمئن هستي که ميتوني در مورد مشروب نوشي کاري بکني؟
204_35,P,"I'm pretty confident and you know, probably about a seven or an eight ",id,من کاملا مطمئن هستم و می دانید، احتمالاً حدود هفت یا هشت
204_36,T,"Okay, so it's pretty high up there again, and what if, what if anything, would you choose to do would it be to cut down would it be to quit? I'm just curious about that",irq,باشه، پس دوباره اون بالا هست، و اگه چی، اگه چی، اگه چیزی، انتخاب می کنی که انجامش بدی؟ آیا این کار رو قطع کنی؟ آیا این کار رو ترک کنی؟ من فقط کنجکاو هستم.
204_37,P,"I you know, I like a lot A glass of wine, I don't want to quit altogether, I'd be willing to try cutting that. But now if it's going to, if Dr. Seal would agree to prescribe me something for the anxiety, and it meant that I had to not drink at all, I'd be willing to do that at least for a period of time.",id,من یک لیوان شراب را دوست دارم، نمی خواهم به طور کامل آن را ترک کنم، من حاضر هستم آن را قطع کنم. اما حالا اگر این اتفاق می افتد، اگر دکتر سیل موافقت کند که چیزی را برای اضطراب به من تجویز کند، و این به این معنی است که من نباید به هیچ وجه بنوشم، من حاضر هستم که حداقل برای یک دوره زمان انجام آن را انجام دهم.
204_38,T,"So you'd be willing to stop altogether. That's what was indicated by the physician. Okay. So based on that, how ready are you to do anything right now, whether it's to cut back whether it's to quit?",irq,آیا شما می خواهید به طور کامل متوقف شوید؟ این همان چیزی است که توسط پزشک نشان داده شده است. خوب. بر اساس این، چقدر آماده هستید که در حال حاضر هر کاری انجام دهید، چه برای کاهش مصرف باشد و چه برای ترک؟
204_39,P,"Well, again, you know, if if I can get something to help me manage if maybe I can find some other way to deal with the stress, then then you know, I be pretty ready. Again, maybe about an on that scale, maybe an eight.",id,خب، دوباره، می دانید، اگر اگر من می توانم چیزی برای کمک به من مدیریت کنم، اگر شاید من بتوانم راهی دیگر برای مقابله با استرس پیدا کنم، پس می دانید، من کاملا آماده هستم. دوباره، شاید در مورد آن مقیاس، شاید هشت.
204_40,T,"Okay, so that's, that's pretty hot there as well. It sounds as though you're pretty motivated to do something about this right now, given any responsibilities given your children learning at this point. And just on lowering anxiety, in general, it sounds and that's one of your goals as well. Well, I'm pretty confident Once you decide to do whatever it is you decide to do, you'll be able to follow through with it. Based on your experience in the past of making behavior changes. I mentioned some things that you can draw upon. What's one thing that you could do? Imagine you thought of some things might help to lower your stress.",irq,به نظر می رسد که شما بسیار مشتاق هستید تا در حال حاضر کاری در این مورد انجام دهید، با توجه به هر گونه مسئولیت هایی که به کودکان شما داده شده است که در این مرحله یاد می گیرند.و فقط در کاهش اضطراب، به طور کلی، این صداها و این یکی از اهداف شما است.خب، من کاملا مطمئن هستم که هنگامی که تصمیم می گیرید هر کاری را که تصمیم می گیرید انجام دهید، می توانید آن را دنبال کنید.بنیاد بر تجربه گذشته خود در ایجاد تغییرات رفتاری، من برخی از چیزهایی را ذکر کردم که می توانید از آن استفاده کنید.
204_41,P,"Oh, I you know that the exercise but again, that's that's kind of difficult to fit in right now. I'm hoping that Dr. Seal will prescribe something for me to take when I'm feeling particularly overwhelmed and maybe just having somebody to talk to to bounce some things off of ",id,اوه، می دانم که تمرینات، اما دوباره، این کار در حال حاضر دشوار است. امیدوارم که دکتر سیل چیزی را برای من تجویز کند تا وقتی احساس فشار زیادی دارم و شاید فقط کسی را برای صحبت کردن با آن داشته باشم تا برخی از چیزها را از آن خارج کنم.
204_42,T,"one of the things we can offer here is for you to come in and talk to one of our behavioral health specialists may be able to help you talk talk through this this area of your life, this area of increased stress and sound like responsibility there and we can make an appointment for you for like before you leave today to talk to somebody",id,یکی از چیزهایی که ما می توانیم در اینجا پیشنهاد کنیم این است که شما وارد شوید و با یکی از متخصصان سلامت رفتاری ما صحبت کنید، ممکن است بتواند به شما کمک کند تا از طریق این زمینه از زندگی خود صحبت کنید، این حوزه از استرس افزایش یافته و به نظر می رسد مسئولیت در آنجا و ما می توانیم برای شما قرار ملاقات قرار دهیم، مانند قبل از اینکه امروز بروید تا با کسی صحبت کنید.
204_43,P,That would be nice,ack,خوبه که اينطوره
204_44,T,"that also has some information here if you're interested, some pamphlet on alcohol and and how what helps limits on how it may be affected by medications that you take as well. And I wish you lots of luck. It sounds as though you're really committed to making this shift in this change. And I imagine doctors still want to follow up with you and see how you do with your with your change within a few weeks.",id,در این مقاله، اگر علاقه مند هستید، در مورد الکل و چگونه کمک می کند تا محدوده های آن را تحت تاثیر داروهای مصرفی قرار دهد، و من به شما آرزوی موفقیت می کنم، به نظر می رسد که شما واقعا متعهد به ایجاد این تغییر هستید و من تصور می کنم که پزشکان هنوز می خواهند با شما دنبال کنند و ببینند که در چند هفته آینده با تغییر شما چگونه عمل می کنید.
204_45,P,Okay,ack,باشه، باشه
204_46,T,"Again, I look forward to speaking to you in the future.",gt,دوباره، مشتاقانه منتظر صحبت کردن با شما در آینده هستم.
204_47,P,"All right, thank you very much.",gt,باشه، خیلی ممنونم.
206_0,T,"Yeah, okay. All right. What was your relationship with your teachers? And maybe those that some of the peers that you had at the school? I mean, was there any?",irq,خوب، رابطه شما با معلمان شما چگونه بود؟ و شاید با همسالان شما در مدرسه؟ منظورم این است که، آیا هیچکدام وجود داشت؟
206_1,P,"No, I usually I've been dealing with the teachers. Honestly, I was always the class clown. So I'm usually getting kicked out, getting detention, you know, so I didn't really get along with the teachers trying to teach class right stuff. ",id,نه، من معمولاً با معلمان سر و کار داشتم. صادقانه بگویم، من همیشه دلقک کلاس بودم. پس من معمولا اخراج می شدم، بازداشت می شدم، می دانید، بنابراین من واقعا با معلمان که سعی می کردند درس های درست را آموزش دهند، کنار نمی آمدم.
206_2,T,Okay. So overall today are you pursuing or do you want to further your education,irq,خوب. بنابراین به طور کلی امروز شما دنبال می کنید یا می خواهید تحصیلات خود را ادامه دهید
206_3,P,"Yeah, I'm trying to get in college.",id,آره، دارم سعي ميکنم وارد دانشگاه بشم
206_4,T,"Right. Yeah. Great. So you're looking into for year junior college,",irq,درسته. آره. عاليه. پس داري به دنبال سال اول دانشگاه ميگردي،
206_5,P,"yeah, a dream college.",id,آره، يه دانشگاه رويايي.
206_6,T,"And what would be like, give me a little bit during the time that you were in school. Did you have a job heavy work?",irq,و چه چیزی مثل، به من کمی در طول زمانی که شما در مدرسه بود. آیا شما یک کار سنگین کار داشت؟
206_7,P,"I was working at cost wise, It's a restaurant Through the school, okay, and it was not like a job program, right, package of knives and forks and wrapped in salt and pepper and would send them over to the school. I mean to the restaurant. ",id,من در یک رستوران در مدرسه کار می کردم، و این یک برنامه شغلی نبود، درست است، بسته ای از چاقو و چنگال و بسته بندی شده در نمک و فلفل و آنها را به مدرسه می فرستید.
206_8,T,You sent over to the restaurant.,ynq,تو به رستوران فرستادي.
206_9,P,Yeah.,ack,آره، آره
206_10,T,"Okay. So you would prep everything, you know, all the tensile Ready? ",ynq,خب، پس همه چيز رو آماده ميکني، ميدوني، تمام کشش ها آماده؟
206_11,P,Yeah,ack,آره، آره
206_12,T,"Okay. Now, when you were working, how did that make you feel when you're working?",irq,خوب، وقتی کار می کردید، چه حسی در کارتان داشتید؟
206_13,P,"You know, I got boring at times, obviously And because the Patriots were also really small. ",id,میدونی، گاهی اوقات خسته کننده می شدم، واضحه و چون پاتریوت ها هم خیلی کوچیک بودن.
206_14,T,but it was the start?,ynq,اما اين شروع بود؟
206_15,P,"Yeah, it was a start. ",ack,آره، يه شروع بود.
206_16,T,Right. And so how did it make you feel good? Because you work for something And then the finished product was your paycheck.,ynq,درسته. و پس چطور باعث شد احساس خوبی داشته باشی؟ چون تو برای چیزی کار می کنی و سپس محصول نهایی چک حقوق تو بود.
206_17,P,Yeah.,ack,آره، آره
206_18,T,"So if you want something in life, you pretty much have to work for it work for a car or not You have to work at a young age. How old were you when you started working?",irq,پس اگر شما چیزی را در زندگی می خواهید، باید برای آن کار کنید، کار کنید تا ماشین داشته باشید یا نه، شما باید در سنین جوانی کار کنید.
206_19,P,10 years old,id,ده ساله
206_20,T,"10 years old and then you started working and As a program for the school, so you know, you've known at a young age that it's going to take hard work,",gc,10 سال سن و سپس شروع به کار کردن و به عنوان یک برنامه برای مدرسه، بنابراین شما می دانید، شما در سنین جوانی می دانید که این کار سخت را انجام می دهد،
206_21,P,yeah to achieve something to achieve something.,gc,آره برای رسیدن به چیزی برای رسیدن به چیزی.
206_22,T,"Now, what about your dream job? What would be if tomorrow you could say, I'm gonna have this person tomorrow? Or this is my profession tomorrow? What would be your dream job? ",irq,حالا، شغل رویای شما چطور است؟ اگر فردا می توانستید بگویید، من فردا این شخص را خواهم داشت؟ یا این شغل من فردا است؟ شغل رویای شما چیست؟
206_23,P,A pilot,id,یک خلبان
206_24,T,Wow.  And when what was what's your reasoning behind that?,irq,و چه زمانی بود؟ توجیه شما در پشت آن چیست؟
206_25,P,I love airplanes I used to make smaller airplane,id,من هواپیمای دوست دارم من هواپیمای کوچکتر می ساختم
206_26,T,Tell me more about that. What would you do in your dream job?,irq,در مورد آن بیشتر به من بگویید. در شغل رویایی خود چه کاری می کردید؟
206_27,P,"I just want to fly by being in the end, I like going fast.",id,من فقط ميخوام با بودن در پايان پرواز کنم، دوست دارم سريع برم.
206_28,T,"Fast in the air and being above Yeah, I think being able to see different view. So pilot Have you looked into what it would take to become a pilot.",gc,سریع در هوا و در بالای هوا بودن آره، فکر می کنم قادر به دیدن دیدگاه های مختلف باشم. پس خلبان آیا شما به آنچه که برای تبدیل شدن به یک خلبان نیاز دارد نگاه کرده اید.
206_29,P,"You know, the only struggle with thatI dont have to drink, I don't think this will work out",gc,میدونی، تنها مشکلی که دارم اینه که مجبور نیستم بنوشم، فکر نکنم این کار جواب بده.
206_30,T,What is you next dream job?,irq,شغل رویایی بعدی شما چیست؟
206_31,P,A cop.,id,یه پلیس.
206_32,T,"Police Officer, have you looked into that what it takes?",irq,افسر پلیس، آیا شما به آن نگاه کرده اید که چه چیزی نیاز دارد؟
206_33,P,yeah trying to get back into this cadet program I was doing for about three weeks ago was doing it but was too far. So to kind of really go forward in my area,id,آره سعی می کردم به این برنامه ی کادتی که حدود سه هفته پیش انجام می دادم برگردم، انجامش می دادم اما خیلی دور بود.
206_34,T,"right maybe that's something we can discuss to help you find the cadet program close fine. We're able to give you a, you know, some goals to set to get you in the program at that. But let's look at you know, back, let's back up a little bit to the marijuana. Because you and I know being in law enforcement, you know, marijuana and being a cop, pretty much ",gc,شاید این چیزی است که ما می توانیم در مورد آن بحث کنیم تا به شما کمک کنیم برنامه ی کادیت را به خوبی پیدا کنید. ما می توانیم به شما هدف هایی را برای ورود به این برنامه تعیین کنیم. اما بیایید نگاهی به آن بیندازیم. بیایید کمی به ماری جوانا برگردیم. چون شما و من می دانیم که در اجرای قانون، ماری جوانا و پلیس بودن، خیلی زیاد است.
206_35,P,"Yeah, yeah. ",ack,آره، آره.
206_36,T,And you would have to what would you have to do?,irq,و تو بايد چيکار کني؟
206_37,P,"Let it go, I have to let it go. ",id,بذار بره، بايد بذارم بره.
206_38,T,"So, what we want to do while you're here, you know, we want to help you here develop a treatment plan and treatment model where you can pursue some realistic goals. We want to set some goals for you. Also, what about your medical History tongue a little bit about your medical history. Have you ever been in the hospital? Has anything ever happened to a broken bone",irq,بنابراین، آنچه که ما می خواهیم در حالی که شما اینجا هستید انجام دهیم، می دانید، ما می خواهیم به شما کمک کنیم که یک طرح درمان و مدل درمان را توسعه دهید که در آن شما می توانید برخی از اهداف واقع گرایانه را دنبال کنید. ما می خواهیم برخی از اهداف را برای شما تعیین کنیم. همچنین، چه می شود در مورد زبان تاریخ پزشکی شما کمی در مورد تاریخ پزشکی شما. آیا شما تا به حال در بیمارستان بوده اید؟ آیا هرگز چیزی به یک استخوان شکسته شده اتفاق افتاده است؟
206_39,P,I had surgery on my cybereason,id,من در مورد دلیل سایبری خود عمل جراحی کردم
206_40,T,"What about in your family? Is there any diseases in your family and you want to know suffer for any illnesses, ailments. Okay. And as far as medical attention is there anyone that needs medical that needed medical attention in the past maybe someone on meds in your family psychological health? Was there anyone maybe that has gone to therapy that has been in therapy Your family and family member",irq,در مورد خانواده شما چه؟ آیا در خانواده شما بیماری هایی وجود دارد و می خواهید بدانید که برای هر بیماری یا بیماری رنج می برد؟ خوب. و تا آنجا که به مراقبت های پزشکی نیاز دارد، آیا کسی وجود دارد که به مراقبت های پزشکی نیاز داشته باشد؟ شاید کسی در خانواده شما به سلامت روانشناختی دارو مصرف کرده باشد؟ آیا کسی وجود دارد که به درمان رفته باشد؟
206_41,P,No.,yna,نه، نه
206_42,T,"And what we want to do, what I want to do to help you with this verse is one want to develop a treatment plan to help you with the marijuana use. We want to be able to look at your support system, you know who's in your life right now? What are your friends that you smoke marijuana with? What type of people are they? Would this be a good fit for you? But our whole goal is to start you off with small steps. So today, you're using marijuana how many times a day. So you pretty much said you use it every day. ",ynq,برای اینکه به شما کمک کنیم در این مورد، می خواهیم یک برنامه درمانی برای کمک به شما در مورد مصرف ماری جوانا تهیه کنیم.ما می خواهیم به سیستم پشتیبانی شما نگاه کنیم، شما می دانید در حال حاضر چه کسی در زندگی شما وجود دارد؟ چه دوستانی دارید که ماری جوانا می کشید؟ چه نوع افرادی هستند؟ آیا این برای شما مناسب است؟ اما کل هدف ما این است که شما را با گام های کوچک شروع کنیم.
206_43,P,Yeah.,ack,آره، آره
206_44,T,But how many times?,irq,اما چند بار؟
206_45,P,3-4 times,id,سه تا چهار بار
206_46,T,Do you wake up and you do?,irq,آیا از خواب بیدار می شوید و این کار را می کنید؟
206_47,P,"yeah. It's not my morning routine. Go ahead and do it. And then usually around noon time I'll do it again and then towards five o'clock. I'll do it again at nighttime in Fargo. They'll do Again, right",id,آره. این روتین صبحگاهی من نیست. ادامه بده و انجامش بده. و سپس معمولا در حدود ظهر دوباره انجامش می دهم و سپس در حدود ساعت پنج. من دوباره در شب در فارگو انجامش می دهم. آنها دوباره انجام می دهند، درسته؟
206_48,T,so one of maybe one of the realistic goals is you're okay you know we can we can narrow down maybe the relationship see which of your friends right now today? How many of them smoke,irq,یکی از اهداف واقعی این است که شما خوب هستید، می دانید که می توانیم، شاید می توانیم رابطه را محدود کنیم، ببینیم که کدام یک از دوستان شما در حال حاضر، امروز، چه تعداد از آنها سیگار می کشند.
206_49,P,about six seven,id,حدود شش هفت
206_50,T,Yeah so maybe a realistic short term goal is to begin to see which friends to hang out with you know and then also your mom man either way she,gc,پس شاید یک هدف کوتاه مدت واقع گرایانه این باشد که شروع به دیدن دوستانی کنید که می توانید با آنها کنار بیایید و سپس مادرتان را نیز ببینید.
206_51,P,"She told me before you fall into the wrong crowd and fall into something just she pretty much said that this if I keep this up is gonna get me into something I don't want to get into right now jail time round because we makes you do things that you shouldn't be doing for other things legal, right so,",gc,او به من گفت قبل از اینکه به گروه های اشتباهی بیفتی و به چیزی گرفتار بشی، او تقریبا گفت که اگر من به این کار ادامه دهم، من را به چیزی می کشاند که نمی خواهم در حال حاضر وارد آن شوم، یعنی زندان، چون ما شما را مجبور می کنیم کارهایی انجام دهید که نباید برای کارهای دیگر انجام دهید.
206_52,T,"so definitely we want to look at your whole peer relationships who your friends are We also want to look at your your time right now. So, you mentioned earlier that you were working. Are you working today? ",ynq,بنابراین قطعا ما می خواهیم به تمام روابط همسالان شما نگاه کنیم که دوستان شما چه کسانی هستند ما همچنین می خواهیم به زمان شما در حال حاضر نگاه کنیم. بنابراین، شما قبلاً اشاره کردید که شما کار می کردید. آیا شما امروز کار می کنید؟
206_53,P,No.,yna,نه، نه
206_54,T,"Okay, so maybe that's another thing a realistic goal that we need to look at, and maybe help you pursue is it as a job? Maybe because the idle time sometimes can trigger events, you know, where you begin to want to use marijuana, and then we can identify some of the emotions that you're feeling. Let's go over that maybe briefly. Before you get before you smoke marijuana, is there a feeling that you have that says, hey, you depress, so we can look at the depression and see how we can treat that. What else? What are some of the other feelings that you see?",irq,"""مگر این یک هدف واقعی است که باید به آن توجه کنیم و شاید به دنبال آن باشیم؟ شاید به این دلیل که اوقات بیکار گاهی اوقات می تواند حوادث را به وجود آورد، می دانید، جایی که شما شروع به استفاده از ماری جوانا می کنید، و سپس می توانید برخی از احساسات را که احساس می کنید، شناسایی کنید. بیایید به طور خلاصه به آن مراجعه کنیم. """"قبل از اینکه ماری جوانا را سیگار بکشید، آیا احساسی وجود دارد که می گوید، هی، شما افسرده هستید؟ بنابراین می توانیم به افسردگی نگاه کنیم و ببینیم که چگونه می توانیم آن را درمان کنیم."""""""
206_55,P,"so angry, You know",id,خیلی عصبانی، میدونی
206_56,T,what you think?,irq,نظرت چيه؟
206_57,P,"Be a bit boring, but my girlfriend So it's kind of a start. So it still bothers me as much as I'm trying to ignore it. Instead, it still bothers me. ",id,کمی خسته کننده است، اما دوست دختر من پس این یک نوع شروع است. پس هنوز هم به اندازه ای که من سعی می کنم آن را نادیده بگیرم، مرا اذیت می کند. در عوض، هنوز هم مرا اذیت می کند.
206_58,T,Right? There's a certain days that maybe perhaps you remember or events,ack,درست است؟ روزهای خاصی وجود دارد که شاید شما به یاد دارید یا حوادثی که در زندگی شما رخ داده است.
206_59,P,Like Thanksgiving and Christmas and holidays and things like that.,gc,مثل شکرگزاری و کریسمس و تعطیلات و چیزای اینجور
206_60,T,That's when you become angry.,irq,این زمانی است که عصبانی می شوید.
206_61,P,Yes.,ack,بله، بله.
206_62,T,How you were brought up?,irq,تو چطور بزرگ شدي؟
206_63,P,"Yeah its like that I don't appreciate my foster parents. Right? But just with Billy, I've been born with my biological right.",id,من از پدر و مادر سرپرستم قدردانی نمی کنم، درسته؟ اما فقط با بیلی، من با حق بیولوژیکی ام به دنیا اومدم.
206_64,T,"So we want to we want to maybe will equip you with some coping skills, how to cope with those things, how to prepare you maybe for the holidays, maybe there's a way we can, you know, we can begin to look at that. During the holidays. This is these are the emotions I feel. So we identify those emotions and we'll be able to, you know, take care of that we'll be able to prepare you prior to you are you falling back into the trap of going out and using marijuana Maybe during Christmas? Do you feel the same way during Christmas?",ynq,در این صورت، شما می توانید با مهارت های مقابله ای که در طول تعطیلات به شما می رسد، به آن ها کمک کنید تا از آن ها استفاده کنید، و در این صورت، شما می توانید از آن ها استفاده کنید تا به آن ها کمک کنید تا از آن ها استفاده کنید.
206_65,P,Yeah,ack,آره، آره
206_66,T,"Maybe even your birthday, Father's Day, Mother's Day, these are all things that we can kind of get you ready for. Because once again, it's gonna take small steps, realistic goals. And then what we want to do after that the real estate goals is just get you ready, you know, for long term goal. But you know what, Curtis? I'm glad you came into my office. It was great meeting you. I look forward to working with you. ",id,شاید حتی تولد شما، روز پدر، روز مادر، این همه چیزهایی هستند که ما می توانیم برای آنها آماده شوید.چون یک بار دیگر، این کار گام های کوچک، اهداف واقع گرایانه ای را می گیرد.و سپس آنچه ما می خواهیم بعد از آن انجام دهیم، اهداف املاک و مستغلات، فقط آماده کردن شما برای اهداف بلند مدت است.اما می دانید چه؟ من خوشحالم که شما به دفتر من آمدید. ملاقات شما عالی بود. من مشتاقانه منتظر کار با شما هستم.
206_67,P,All right.,ack,باشه، باشه، باشه
206_68,T,Is there any other questions that you may have for me? Is there anything?,irq,آیا سوال دیگری برای من دارید؟ آیا چیزی وجود دارد؟
206_69,P,How many times a week Am I going to be allowed to come?,irq,چند بار در هفته اجازه دارم بيام؟
206_70,T,"What Well, we can do we'll set you up with a treatment plan. And then I'd like to meet at least have two contacts with you your week. We can go over that. And then maybe during one of the context, we can help you with one, help you with a job. Okay? And then identifying some of the emotions. And then maybe we can get the whole marijuana use, we can begin to kind of taper it down instead of seven, you know, everyday. Yeah, we'll begin to see how we can take with that. Okay, we're down but again, I'm glad that you came. It was a pleasure meeting you and we'll be in touch and we'll be able to do it again.",id,"""ما می توانیم یک برنامه درمانی برای شما تنظیم کنیم. و سپس من می خواهم حداقل دو بار در هفته با شما ملاقات کنم. ما می توانیم از آن استفاده کنیم. و سپس شاید در یکی از زمینه ها، ما می توانیم به شما کمک کنیم، به شما کمک کنیم. خوب؟ و سپس شناسایی برخی از احساسات. و سپس شاید ما می توانیم کل استفاده را بدست آوریم، ما می توانیم شروع کنیم به نوع کم کردن آن به جای هفت، شما می دانید، هر روز. بله، ما شروع به دیدن می کنیم که چگونه می توانیم با آن ماری جوانا را بگیریم. خوب، ما پایین هستیم اما دوباره، خوشحالم که شما آمدید."""""""
206_71,P,Okay. All right.,gt,باشه، باشه
